title,description,audience_level,talk_format,tags
1次元畳み込みフィルターを利用した音楽データのオートエンコーダ,"# 概略
音楽の楽譜データであるmidiファイルをもとに音楽を自動生成するという試みは、すでにGoogle Magenta にて実施されている。
しかし、midiではなく、mp3やma4などの音響データで音楽が配布されたり取得されたりする場合が多い。
録音データをmidiに変換する自動採譜の技術もあるが、これも完璧ではない。

そこで今回、音響データを符号化し、midiのように扱いやすいデータに変換した上で、
音楽自動生成へとつなげていきたいと考えた。

# 実装

Pythonには、データの符号化、つまりオートエンコーダを生成するための機械学習ライブラリが潤沢に用意されていることに加え、
Pythonでは音響データの一つである.wavファイルを取り扱える関数がネイティブに提供されているため、本テーマを扱うのに最適な言語である。
pythonにおけるwavデータは以下のように扱える

import wave  
wavfile = 'sample.wav'  
wr = wave.open(wavfile, ""rb"")  
origin = wr.readframes(wr.getnframes())  
data = origin[:44100 * 2 *  180] # 180sec  
wr.close()  


このようにして得られた音響データをオートエンコーダにかける。
音響データは時系列データの波形データとして得られるのだが、
より波形としての特徴を色濃く表現したいと考えたため、
一次元の畳込みフィルターを採用したオートエンコーダを考案した。

一次元畳み込みフィルターの構築は単純で、Kerasを利用して次のように書くことができる。


from keras.models import Sequential, load_model  
from keras.layers import Dense, Flatten, Reshape  
from keras.layers.noise import GaussianNoise  
from keras.layers.convolutional import Conv1D, UpSampling1D  
from keras.layers.pooling import MaxPooling1D  

model = Sequential()  
model.add(Conv1D(4, 7, strides=7, padding='same', input_shape=(44100, 2), activation='relu'))  
model.add(UpSampling1D(7))   
model.add(Conv1D(4, 7, padding='same', activation='relu'))  
model.add(Conv1D(2, 8, padding='same', activation='tanh'))  


ここではPooling層を使わずにstridesを利用して次元削減を実行している。

# 解釈

上で述べたオートエンコーダは次のようにエンコーダとデコーダに分離される


encoder = K.function([model.layers[0].input], [model.layers[0].output])  
decoder = K.function([model.layers[1].input], [model.layers[3].output])  


この時、`encoder`は音響データを機械が音楽を理解しやすい形に変換していることになる。
エンコードされたデータから音響データが再現できるのであれば、
エンコードされたデータは一種の楽譜のようなものであり、`encoder`は採譜機となる
また、エンコードデータから音響データを再現する`decoder`は音源として解釈することができる。

# まとめ

- 音響データを種とした音楽自動生成ツールを作りたい
- そのためには大きなデータ次元を持つ音響データを扱いやすい形にする必要がある
- 今回、音響データのオートエンコーダを一次元畳み込みフィルターを利用して実装した
- 音響データをエンコードしたものは機械が解釈できる楽譜であると考えることができる",All,Talk (30 minutes),"Keras, MachineLearning, music"
Adding JWT Authentication to Python and Django REST Framework Using Auth0,"Authentication is one of the big parts of every application. Security is always something that is changing and evolving.  Basically, we'll use the djangorestframework-jwt package for adding JWT authentication as you would normally do except that we'll change JWT_AUTH to use Auth0. 

The talk will cover the following points:

* How to create a virtual environment, install Django and the other dependencies
* How to create an Auth0 API
* How to integrate Auth0 JWT authentication with Django
* Using Auth0 Rules for detecting signup
* How to add some Django views for testing JWT
* How to use Postman for testing JWT authentication with Auth0

In the talk, we will learn how to use Auth0 to enable authenticated-only sections within a web application, as well as to retrieve protected resources and audiences have lots of opportunities to ask questions both technical and non-technical.",All,Talk (30 minutes),"Web programming including frameworks (Django / Flask / Pylons etc.), Python in education science and maths, Packaging"
メルカリにおける AI 活用事例,"* AI 活用事例のかんたんな説明
* 内製の機械学習基盤の説明
* 違反出品検知についての詳しい説明
* 画像検索についての詳しい説明",All,Talk (30 minutes),"Python, Go, AI, Machine Learning"
AltJSとしてのPython - フロントエンドをPythonで書こう,"# 概要

Python3をJavaScriptに変換する[Transcrypt](https://www.transcrypt.org/)を取り上げます。Transcryptに興味を持っていただき、今後のAltJSの選択肢の一つに入れていただくことがこのセッションの目的です。

前半は、Transcryptを利用するための環境構築の方法、ツールの実際の使用方法を解説します。単にコマンドを羅列するだけでなく、さまざまなコードの変換前後を比べることで、より良い書き方を知っていただければと思います。

後半は、jQuery、Vue.js、React NativeなどのJavaScriptライブラリとの連携方法を解説します。あわせて、連携するにあたって意識しなければいけないことや、私が今までに踏み抜いた地雷を回避する方法もお伝えします。

今年のPyCon JPのテーマは「広がるPython」です。サーバーサイド開発、データ解析、機械学習などで実績のあるPythonの世界を、Webフロントエンドやスマートフォンアプリケーションに広げてみましょう。

# 目次(仮)

- 環境の構築
- 変換後のJavaScript
- 対応している文法
- jQueryとの連携
- Vue.jsとの連携
- React Nativeとの連携",Beginner,Talk (30 minutes),Web programming including frameworks (Django / Flask / Pylons etc.)
Applying serverless architecture pattern to distributed data processing,"Serverless architectures refer to applications that significantly depend on “cloud” services (knows as Backend as a Service) or on custom code that’s run in ephemeral runtime (Function as a Service or “FaaS”).

To application developers, “serverless” mean app where some certain logic of it is still written by the developer but unlike traditional architectures or microservices is run in stateless compute runtime that is event-triggered, may only last for one invocation, and fully managed by a cloud. Serverless helps developers to transfer responsibility of keeping their apps up and running as well as scaling out their workload capacity without involving DevOps/Ops as we got used to.

In this talk we will go through whole “serverless” thing: from decomposing app and its logic to microservices and further to smaller bits, i.e. functions to defining data flow through functions and building their fault-tolerant pipeline.

Moreover, we will go through the demo that highlights key takeaways:

* how to design scalable architecture without getting into troubles by hitting concrete bottlenecks

* how to combine multiple programming languages into a single app

* why Go and Python are the ones of the best programming languages designed exactly for serverless
",Intermediate,Talk (45 minutes),"Go, Golang, Python, serverless, computing, distributed, Architecture/Design Patterns, AI/ML/Research, APIs/MicroServices, Network programming, Programming tools, Packaging"
Becoming a Multilingual SuperHero in Django,"You have got this super awesome REST API served through Django/DRF based project and suddenly these requirements come in:

We need to have a local support for the Japanese language!

In case, you've not written your application with localization and internationalization in mind, then  ""Boy! You're in danger! You should better start praying to almighty to give you strength and endurance to support yet another language in your app"".

In this talk, we'll see how do we support localization and serve our app in different languages, based on what language the client wants to communicate in. As a backend, we should be language agnostic and allow all clients to communicate with us in one of the languages we support.

We'll see how to support translation for static data (using makemessages / compilemessages) and dynamic data, using various third-party services such as django-translations and transifex.

Here, static data is translations for all the fields, error messages etc. that the app already has and dynamic data is the custom data input by the user in the app.

This would enable you to have your admin panel, as well as RESTful APIs, served in different languages.
",All,Talk (30 minutes),"Django, REST, API, localization"
Build text classification models ( CBOW and Skip-gram) with FastText in python,"FastText has been open-sourced by Facebook in 2016 and with its release, it became the fastest and most accurate library in Python for text classification and word representation. It is to be seen as a substitute for gensim package's word2vec.  It includes the implementation of two extremely important methodologies in NLP i.e Continuous Bag of Words and Skip-gram model. Fasttext performs exceptionally well with supervised as well as unsupervised learning. 

The tutorial will be divided in following four segments :

1. 0-10 minutes: The talk will begin with explaining the difference between word embeddings generated by word2vec, Glove, Fasttext and how FastText beats all the other libraries with better accuracy and in lesser time.

2. 10-30 minutes: The code will be shown and explained line by line for both the models (CBOW and Skip-gram) on a standard textual labeled dataset with the tips on hyper-parametric tuning to get the best possible results.

3. 30-40 minutes: How to use the pre-trained word embeddings released by FastText on various languages and where to use them. Various use cases of what kind of problems can be solved using FastText in python.

4. 40-45 minutes: For QA session.",All,Talk (45 minutes),"open source, facebook, machinelearning, python, wordvector, skipgram, data science, deeplearning, fasttext, naturallanguageprocessing"
Creative Music Applications in Python,"### Creative Music Applications in Python
We are lucky to live in times when Python is the go-to programming language for machine learning,  neural networks research, web applications, as well as for developments of generative media and digital art. Using a wide variety of Python open-source packages and RNN models, the Python community is now becoming the center stage for experimental media projects and creative applications.  
  
The goal of this talk is to introduce attendees to the increasing variety of packages and pre-trained machine learning models for audio analysis, music creation, and text generation, that is now available in Python!  
  
### Talk Overview
The talk will start with a presentation of Dror's recent award-winning project, [Soundscape](http://www.soundsca.pe) -  An online platform, that allows music lovers to record loops, and sync them with music by other people around the world automatically.  
  
We will breakdown Soundscape's building blocks and see how to use audio analysis Python packages, such as [LibROSA](https://librosa.github.io/librosa/index.html) and [madmom](http://madmom.readthedocs.io/en/latest/index.html) (Recurrent Neural Network). Furthermore, we will learn how to overcome the challenges of serving these type of applications using the [Django Web Framework](https://www.djangoproject.com/).  
  
Then, we will talk about easy ways to build similar applications using Python packages, such as [AudioOwl](https://github.com/dodiku/audioowl) and [MixingBear](https://github.com/dodiku/MixingBear), which were created recently by Dror Ayalon.  
  
![AudioOwl.py and MixingBear.py](https://s3.amazonaws.com/soundscape-images-dev/AudioOwl_MixingBear.png)
  
Following the project presentation, we will review a few other Python open-source projects and tools, such as Google Magenta's Recurrent Neural Networks for generative music, WaveGAN for generative raw audio, and textgenrnn for text generation.  
  
We will wrap-up with a few interesting projects to burst our inspiration!  
  
### About The Speaker
[Dror Ayalon](https://www.drorayalon.com) is a software engineer, product manager, and interaction designer. He researches and develops innovative music creation tools, using music information retrieval (MIR) techniques, digital signal processing (DSP), and machine learning algorithms, that will allow musicians to compose music in a variety of new ways and formats. Dror recently received his master's degree from NYU and now works full time for the Google Creative Lab in NYC.",All,Talk (30 minutes),"audio, music, machine learning, dsp, generative music, neural networks, rnn, recurrent neural network, sound, art, creative, django, web, signal processing"
Crossing the Python 3 Rubicon,"Tick, tock, tick, tock! The clock is ticking for Python 2, as we're getting close to its sunset in 2020. Targeted at engineers that want to make the switch to Python 3, but don't know exactly where to start, this talk will introduce best practices that were already used at various companies, and I'll emphasise the strategies that we're using successfully at Zapier to move a big Python codebase to Python 3 (around 500k lines of code). I'll also provide examples that we encountered on how things went wrong with our migration, from decreased performance due to decoding at the Python level to subtle bugs caused by different semantics between the two versions. We're going to see a couple of best practices, tools and utilities that you can use to have a sane switch to Python 3 as soon as possible!

",Intermediate,Talk (45 minutes),"Python 3, Best practices"
C拡張と共に乗り切るPython 2→3移行術,"本セッションでは、まず冒頭で

 - Python 2のEoLとPython 3移行の現状

を弊社のケースを交えて紹介します。
次に、

 - C拡張の書き方で2/3間の互換性がない部分
 - その間をどう埋めていったか

を順を追って解説します。
Cが済んだら、

 - sixによるPythonコードの2/3互換化
 - C拡張とPythonを結合して遭遇したエラーと対応策
 - 発展例: DEBパッケージ化

について発表し、まとめに入ります。",Advanced,Talk (30 minutes),"Anything else basically which doesn’t really fall into the types of topics above, Python Core"
Detecting offensive messages using Deep Learning: A micro-service based approach,"This talk focuses on :

- The shortcomings / common pitfalls of current approaches in terms of:
  - Functionality
  - Scalibility
- Handling the ambiguities in defining offensive content
- Using a Deep Learning based approach to detect offensive content
- Production-izing the solution
",All,Talk (30 minutes),"python, deep learning, machine learning, data science, devops, neural networks, microservice, containers, Web programming including frameworks (Django / Flask / Pylons etc.), Machine learning and data science, Fintech"
Djangoだってカンバンつくれるもん(Django Channels + Vue),"Django Channels 2.1系とVue.js + Vuexを使用して複数ブラウザでリアルタイムに同期するいわゆるカンバンアプリケーションを作成した際の流れを振り返りながらChannelsの紹介や、Vue.jsとの組み合わせの実践的な内容をコードを含めて紹介します。

* Django Channelsの概要
* Django Channelsの基本概念
    - asgi
    - routing
    - consumer
* 本番でのアプリケーションサーバ選定(not uWSGI, use daphne)
* Vue.js + VuexでのWebsocket利用方法(vue-native-websocket)
* vue-native-websocketを踏まえた実践的なConsumerの実装方法
* pytestでConsumerのテストをする方法

",Beginner,Talk (45 minutes),"Django, Python, websocket, Vuejs, Vuex"
DjangoではじめるPyCharm実践入門,"PythonのWebフレームワークといえばDjangoが挙げられます。またPythonのIDEといえばPyCharmです。

Pythonの開発をサポートするエディタや統合開発環境はさまざまですが、PyCharmはその中でも使いやすいツールの一つです。
Python開発者にとって幅広い必須となるツールを提供し、生産的なPython開発とWeb開発のための便利な環境を作り出します。

すでにVimやEmacs, VSCodeなどのツールに慣れていると新しいツールを使うのが億劫になったり、
PyCharmが提供してくる機能の多さにはじめはなにをしたらいいのかわからなくなることがあるかもしれません。
しかし使っていくと手放せないツールになっていきます。

ここではDjangoを題材にして、そんなPyCharmの便利なポイントや使い方を紹介します。

## 取り上げる題材

- インテリジェントなコード補完
- デバッグ機能
- リモート連携 (SSH, Vagrant, Docker)
- データベース連携
- バージョン管理システムとの連携
- JavaScriptおよびその他の言語
- etc...

## 対象者
- PyCharmを使ってみたいがどうやって使っていったらいいかわからない人
- 普段からPyCharmを使っているが、もっと使いこなしたい人
- 他に使い慣れているツールがあるが、PyCharmもおさえておきたい人
",All,Talk (45 minutes),"Web programming including frameworks (Django / Flask / Pylons etc.), Best practices, Programming tools"
Django REST Framework におけるAPI実装プラクティス,"Django REST Frameworkの公式ドキュメントは、非常にわかりやすくまとまっていますが、実際に業務で使おうとすると考えないといけないことはまだまだあります。1例を次に示します。

* 一般ユーザーにAPIを公開する場合、大量のAPIリクエストを送るユーザーがいたらどうすればいいか. 真面目に全部答えていると1人のクライアントだけでサーバーを落とすことも難しくないケースもあります
* 違和感のないページネーションはどのように実現するか
* ソーシャル認証や権限管理は、APIではどのように実装すればいいか

こういったドキュメントには詳しく書かれていない実装プラクティスや注意点を解説していこうと思います。本セッションで扱うテーマは次のとおりです。

* APIにおける認証と権限管理
* バージョニング
* ページング (カーソルページネーション)
* 公開APIのリクエスト制限
* Error時の扱い
* Filtering や Ordering
* APIドキュメンテーション
",Intermediate,Talk (45 minutes),"Django, DjangoRESTFramework, Web"
Django を Zappaで構築してServerless Python のベストプラクティスを探る,"## 概要
開発したアプリケーションをいかに素早くユーザーに届けるか、ということを考えたときに、今考えられるアーキテクチャの有力な選択肢の一つがサーバーレスです。
Python の Webフレームワークとサーバーレスアーキテクチャの組み合わせにおいては、  Zappa (https://github.com/Miserlou/Zappa) ほど多機能で柔軟に利用できるサーバーレスのフレームワークはありません。Zappaが何をやっているかを、Zappaで何ができるのかを紐解き、Zappa + Django や、 Zappa + Flask などの事例をもとに、これまでのWeb開発がどう変わるのか、どういう場面で有効活用できるか、サーバーレスは今後どうなっていくのか、などを話します。

## コンテンツ予定
- サーバーレスについて
- Zappaは内部で何をやっているのか
- Zappaで出来ることはなにがあるか
- Zappa と Pythonフレームワークの組み合わせによって、これまでとどう変わるのか
- サーバーレスの今後の展望",Intermediate,Talk (30 minutes),"Django, Flask, Best practice, FIntech, Infra, Serverless, AWS, lambda"
Djangoアプリケーションにおけるトイル撲滅戦記,"1. 前史
    - トイル撲滅前のDjangoアプリケーションについての紹介

2. 運用における問題点
    - トイル撲滅前の運用における問題点についての紹介

3. SREとは
    - SREについての紹介
    - Site Reliability向上におけるアプローチの紹介

4. トイル撲滅戦略
    - 具体的な技術的アプローチについての紹介

5. 効果
    - トイル撲滅による効果の紹介

6. まとめ

関連書籍
---
[Site Reliability Engineering](https://landing.google.com/sre/book/index.html)",All,Talk (45 minutes),"Python, Django, AWS, GitLab, Docker, SRE"
From Data to Web Application: Anime Character Image Recognition with Transfer Learning,"Deep learning is a booming machine-learning technique which we often read in a lot of articles nowadays. Deep learning sounds like an intimidating concept for a lot of people, but everyone believes that deep learning is a cutting-edge tool to solve a lot of problems. In this talk, we will see how Python and various open-source tools are very easy to use and very powerful for solving deep learning problems. For the study case, we will have a 30-minute journey in revisiting image recognition problem with anime characters.

I will briefly explain how traditional machine learning works with TensorFlow and introduces some alternatives tools out there. After that, we will see how deep learning enhances our knowledge in the traditional machine learning and how we can get more benefits from it. All of these examples will be presented in the context of image recognition problem, and while on it, we will also see the use cases of other tools, such as OpenCV, OpenFace, etc.

In the main part of the talk, we will see that images of anime characters are limited by nature, since it totally depends on number of existing fan arts. In addition, 3D model (human face) cannot be applied directly in solving this problem since 2D model (anime character face) totally depends on the illustrator. Therefore, we will explore how we can utilize transfer learning for model training with small amount of dataset. Finally, we will build our own simple app with Sanic to serve our ready-built model for other users.

This talk will introduce the concept of deep learning, transfer learning, and how we can apply it to our own existing problems. In addition, we will present some alternative PaaS as a comparison to build a model from scratch.",Intermediate,Talk (30 minutes),"python, machine learning, deep learning, transfer learning, image recognition, Machine learning and data science"
