id,name,title,abstract,talk_format,profile,room,day,no,room_id,lang_of_slide,lang_of_talk,audience_level,tags,description
1,福井 厚 Atsushi Fukui,「リモートペアプロでマントルを突き抜けろ！」AWS Cloud9でリモートペアプロ＆楽々サーバーレス開発,AWS Cloud9によるリモートペアプロの実演とAWS Lambdaファンクションの開発方法のご紹介,45,2015年7月よりAWSでソリューション アーキテクトとして活動。DevOps、サーバーレス、コンテナ、モバイルなどAWS上でのソフトウェア開発を支援している。,C会議室,2,1,re,ja,ja,All,"Python,AWS,Lambda,AWS Cloud9,unittest,SErverless Application Model","「リモートペアプロでマントルを突き抜けろ！」
====
AWS Cloud9でリモートペアプロ＆楽々サーバーレス開発
--------

- Pythonを使ったAWS Lambdaの開発環境として注目されているAWS Cloud9の便利な機能のひとつがリモート ペアプログラミングです。この機能を利用して地球の裏側にいるメンバーともペアプロやコードレビューが可能です。このセッションでは実際にペアプログラミングやユニットテストのデモを交えながら、どのようにAWSサーバーレス開発が行えるかをご紹介します。"
2,新倉 涼太,1次元畳み込みフィルターを利用した音楽データのオートエンコーダ,音は空気の振動することで作られる。音楽は特定の楽器によって演奏されているため、その空気振動からパターンを抽出することで、特徴量を抽出し、音楽データを圧縮することができると考えた。今回は1次元の畳み込みフィルタを使い機械学習的な手法により、音楽データの圧縮を試みた。,30,ニジボックスで主にwebアプリの開発をしている、エンジニア7年生。今回は業務関係ない個人研究のネタにて参戦,小展示ホール,2,4,rb,ja,ja,All,"Keras,MachineLearning,music","# 概略
音楽の楽譜データであるmidiファイルをもとに音楽を自動生成するという試みは、すでにGoogle Magenta にて実施されている。
しかし、midiではなく、mp3やma4などの音響データで音楽が配布されたり取得されたりする場合が多い。
録音データをmidiに変換する自動採譜の技術もあるが、これも完璧ではない。

そこで今回、音響データを符号化し、midiのように扱いやすいデータに変換した上で、
音楽自動生成へとつなげていきたいと考えた。

# 実装

Pythonには、データの符号化、つまりオートエンコーダを生成するための機械学習ライブラリが潤沢に用意されていることに加え、
Pythonでは音響データの一つである.wavファイルを取り扱える関数がネイティブに提供されているため、本テーマを扱うのに最適な言語である。
pythonにおけるwavデータは以下のように扱える

import wave  
wavfile = 'sample.wav'  
wr = wave.open(wavfile, ""rb"")  
origin = wr.readframes(wr.getnframes())  
data = origin[:44100 * 2 *  180] # 180sec  
wr.close()  


このようにして得られた音響データをオートエンコーダにかける。
音響データは時系列データの波形データとして得られるのだが、
より波形としての特徴を色濃く表現したいと考えたため、
一次元の畳込みフィルターを採用したオートエンコーダを考案した。

一次元畳み込みフィルターの構築は単純で、Kerasを利用して次のように書くことができる。


from keras.models import Sequential, load_model  
from keras.layers import Dense, Flatten, Reshape  
from keras.layers.noise import GaussianNoise  
from keras.layers.convolutional import Conv1D, UpSampling1D  
from keras.layers.pooling import MaxPooling1D  

model = Sequential()  
model.add(Conv1D(4, 7, strides=7, padding='same', input_shape=(44100, 2), activation='relu'))  
model.add(UpSampling1D(7))   
model.add(Conv1D(4, 7, padding='same', activation='relu'))  
model.add(Conv1D(2, 8, padding='same', activation='tanh'))  


ここではPooling層を使わずにstridesを利用して次元削減を実行している。

# 解釈

上で述べたオートエンコーダは次のようにエンコーダとデコーダに分離される


encoder = K.function([model.layers[0].input], [model.layers[0].output])  
decoder = K.function([model.layers[1].input], [model.layers[3].output])  


この時、`encoder`は音響データを機械が音楽を理解しやすい形に変換していることになる。
エンコードされたデータから音響データが再現できるのであれば、
エンコードされたデータは一種の楽譜のようなものであり、`encoder`は採譜機となる
また、エンコードデータから音響データを再現する`decoder`は音源として解釈することができる。

# まとめ

- 音響データを種とした音楽自動生成ツールを作りたい
- そのためには大きなデータ次元を持つ音響データを扱いやすい形にする必要がある
- 今回、音響データのオートエンコーダを一次元畳み込みフィルターを利用して実装した
- 音響データをエンコードしたものは機械が解釈できる楽譜であると考えることができる"
3,Mehul Patel,Adding JWT Authentication to Python and Django REST Framework Using Auth0,"Setting up an authentication layer is, without a doubt, one of the most challenging yet necessary tasks within any web application.",30,"Mehul is a Developer Tech by profession, an open source enthusiast and a maker by heart.",コンベンションホール 梅,2,4,rd2,en,en,All,"Web programming including frameworks (Django / Flask / Pylons etc.),Python in education science and maths,Packaging","Authentication is one of the big parts of every application. Security is always something that is changing and evolving.  Basically, we'll use the djangorestframework-jwt package for adding JWT authentication as you would normally do except that we'll change JWT_AUTH to use Auth0. 

The talk will cover the following points:

* How to create a virtual environment, install Django and the other dependencies
* How to create an Auth0 API
* How to integrate Auth0 JWT authentication with Django
* Using Auth0 Rules for detecting signup
* How to add some Django views for testing JWT
* How to use Postman for testing JWT authentication with Auth0

In the talk, we will learn how to use Auth0 to enable authenticated-only sections within a web application, as well as to retrieve protected resources and audiences have lots of opportunities to ask questions both technical and non-technical."
4,長谷場 潤也,AltJSとしてのPython - フロントエンドをPythonで書こう,PythonをJavaScriptに変換するTranscryptの機能を、jQuery、React Native等との連携方法を交えて紹介します。明日からPythonでフロントエンドを書きましょう。,30,主食はAndroid。主菜はWebバックエンド。副菜はWebフロントエンド。3時のおやつはスクレイピング。,D会議室,2,5,rf,en,ja,Beginner,Web programming including frameworks (Django / Flask / Pylons etc.),"# 概要

Python3をJavaScriptに変換する[Transcrypt](https://www.transcrypt.org/)を取り上げます。Transcryptに興味を持っていただき、今後のAltJSの選択肢の一つに入れていただくことがこのセッションの目的です。

前半は、Transcryptを利用するための環境構築の方法、ツールの実際の使用方法を解説します。単にコマンドを羅列するだけでなく、さまざまなコードの変換前後を比べることで、より良い書き方を知っていただければと思います。

後半は、jQuery、Vue.js、React NativeなどのJavaScriptライブラリとの連携方法を解説します。あわせて、連携するにあたって意識しなければいけないことや、私が今までに踏み抜いた地雷を回避する方法もお伝えします。

今年のPyCon JPのテーマは「広がるPython」です。サーバーサイド開発、データ解析、機械学習などで実績のあるPythonの世界を、Webフロントエンドやスマートフォンアプリケーションに広げてみましょう。

# 目次(仮)

- 環境の構築
- 変換後のJavaScript
- 対応している文法
- jQueryとの連携
- Vue.jsとの連携
- React Nativeとの連携"
5,Denys Makogon,Applying serverless architecture pattern to distributed data processing,In this talk we will go through whole “serverless” thing: from decomposing app and its logic to microservices and further to smaller bits.,45,"Developer advocate, blogger, photographer, traveller, conference guy.
",特別会議室,1,1,rc,en,en,Intermediate,"Go,Golang,Python,serverless,computing,distributed,Architecture/Design Patterns,AI/ML/Research,APIs/MicroServices,Network programming,Programming tools,Packaging","Serverless architectures refer to applications that significantly depend on “cloud” services (knows as Backend as a Service) or on custom code that’s run in ephemeral runtime (Function as a Service or “FaaS”).

To application developers, “serverless” mean app where some certain logic of it is still written by the developer but unlike traditional architectures or microservices is run in stateless compute runtime that is event-triggered, may only last for one invocation, and fully managed by a cloud. Serverless helps developers to transfer responsibility of keeping their apps up and running as well as scaling out their workload capacity without involving DevOps/Ops as we got used to.

In this talk we will go through whole “serverless” thing: from decomposing app and its logic to microservices and further to smaller bits, i.e. functions to defining data flow through functions and building their fault-tolerant pipeline.

Moreover, we will go through the demo that highlights key takeaways:

* how to design scalable architecture without getting into troubles by hitting concrete bottlenecks

* how to combine multiple programming languages into a single app

* why Go and Python are the ones of the best programming languages designed exactly for serverless
"
6,Kajal Puri,Build text classification models ( CBOW and Skip-gram) with FastText in python,,45,,コンベンションホール 鶯,2,2,rd3,,,All,"open source,facebook,machinelearning,python,wordvector,skipgram,data science,deeplearning,fasttext,naturallanguageprocessing","FastText has been open-sourced by Facebook in 2016 and with its release, it became the fastest and most accurate library in Python for text classification and word representation. It is to be seen as a substitute for gensim package's word2vec.  It includes the implementation of two extremely important methodologies in NLP i.e Continuous Bag of Words and Skip-gram model. Fasttext performs exceptionally well with supervised as well as unsupervised learning. 

The tutorial will be divided in following four segments :

1. 0-10 minutes: The talk will begin with explaining the difference between word embeddings generated by word2vec, Glove, Fasttext and how FastText beats all the other libraries with better accuracy and in lesser time.

2. 10-30 minutes: The code will be shown and explained line by line for both the models (CBOW and Skip-gram) on a standard textual labeled dataset with the tips on hyper-parametric tuning to get the best possible results.

3. 30-40 minutes: How to use the pre-trained word embeddings released by FastText on various languages and where to use them. Various use cases of what kind of problems can be solved using FastText in python.

4. 40-45 minutes: For QA session."
7,Wonder Chang,Building Maintainable Python Web App using Flask,This talk will demonstrate how to build a maintainable web application with Flask.,45,"Wonder Chang, a Software Engineer from Taiwan.",A+B会議室,1,2,ra,en,en,Intermediate,"Web programming including frameworks (Django / Flask / Pylons etc.),Best practices,Project case studies","Flask is a popular Python web application micro-framework, which is easy to extend a variety of features individually and used to build enterprise systems widely. However, Software becomes more and more complicated due to changing business requirements. Maintainability is what enterprise developers are seeking for. There may be some specific business logic inside the implementations which you possibly have the skills and knowledge to understand the context and make changes to them at present, but what about next week, or after half an year? How fast you could make those changes each time? Generally, writing unit tests is one of the most effective approaches to make your code maintainable. This talk will stand on the perspective of testability to introduce the clean architecture, giving a comprehensive big picture that how the maintainable Flask-based web application looks like. What this talk will be mentioned including the fundamental concepts of unit testing, application architecture layers, Domain-driven Design (DDD), and the experience of linking them in the daily development works."
9,末田卓巳,C拡張と共に乗り切るPython 2→3移行術,弊社での事例を元に、C拡張入りのパッケージを2/3両対応化する手法を紹介します。,30,"GROOVE X, Inc. 在籍。LinuxやFPGAなど低レイヤーを主に担当。",D会議室,2,4,rf,ja,ja,Advanced,"Anything else basically which doesn’t really fall into the types of topics above,Python Core","本セッションでは、まず冒頭で

 - Python 2のEoLとPython 3移行の現状

を弊社のケースを交えて紹介します。
次に、

 - C拡張の書き方で2/3間の互換性がない部分
 - その間をどう埋めていったか

を順を追って解説します。
Cが済んだら、

 - sixによるPythonコードの2/3互換化
 - C拡張とPythonを結合して遭遇したエラーと対応策
 - 発展例: DEBパッケージ化

について発表し、まとめに入ります。"
11,芝田 将,Django REST Framework におけるAPI実装プラクティス,Django REST Frameworkの公式ドキュメントは、非常にわかりやすくまとまっていますが、実際に業務で使おうとすると考えないといけないことはまだまだあります。本セッションでは、APIのRate Limitの実装などドキュメントで詳しく触れられていない実装プラクティス等を解説します。,45,github: @c-bata. twitter: @c_bata_. 共訳書 エキスパートPythonプログラミング 改訂2版.,特別会議室,1,2,rc,ja,ja,Intermediate,"Django,DjangoRESTFramework,Web","Django REST Frameworkの公式ドキュメントは、非常にわかりやすくまとまっていますが、実際に業務で使おうとすると考えないといけないことはまだまだあります。1例を次に示します。

* 一般ユーザーにAPIを公開する場合、大量のAPIリクエストを送るユーザーがいたらどうすればいいか. 真面目に全部答えていると1人のクライアントだけでサーバーを落とすことも難しくないケースもあります
* 違和感のないページネーションはどのように実現するか
* ソーシャル認証や権限管理は、APIではどのように実装すればいいか

こういったドキュメントには詳しく書かれていない実装プラクティスや注意点を解説していこうと思います。本セッションで扱うテーマは次のとおりです。

* APIにおける認証と権限管理
* バージョニング
* ページング (カーソルページネーション)
* 公開APIのリクエスト制限
* Error時の扱い
* Filtering や Ordering
* APIドキュメンテーション
"
12,向山 裕介 (Yusuke Mukoyama),Django を Zappaで構築してServerless Python のベストプラクティスを探る,,30,,A+B会議室,2,5,ra,,,Intermediate,"Django,Flask,Best practice,FIntech,Infra,Serverless,AWS,lambda","## 概要
開発したアプリケーションをいかに素早くユーザーに届けるか、ということを考えたときに、今考えられるアーキテクチャの有力な選択肢の一つがサーバーレスです。
Python の Webフレームワークとサーバーレスアーキテクチャの組み合わせにおいては、  Zappa (https://github.com/Miserlou/Zappa) ほど多機能で柔軟に利用できるサーバーレスのフレームワークはありません。Zappaが何をやっているかを、Zappaで何ができるのかを紐解き、Zappa + Django や、 Zappa + Flask などの事例をもとに、これまでのWeb開発がどう変わるのか、どういう場面で有効活用できるか、サーバーレスは今後どうなっていくのか、などを話します。

## コンテンツ予定
- サーバーレスについて
- Zappaは内部で何をやっているのか
- Zappaで出来ることはなにがあるか
- Zappa と Pythonフレームワークの組み合わせによって、これまでとどう変わるのか
- サーバーレスの今後の展望"
13,Yasuaki Matsuda,Djangoアプリケーションにおけるトイル撲滅戦記,トイルとは手作業で繰り返し行われ自動化することが可能であり、戦略的で長期的な価値を持たず作業量がサービス成長に比例するものです。この発表を聞くとアプリケーションをSRE観点で改善できるようになります。,45,好きな言葉はトイル(撲滅)です。株式会社アイリッジに所属しています。,コンベンションホール 梅,2,2,rd2,ja,ja,All,"Python,Django,AWS,GitLab,Docker,SRE","1. 前史
    - トイル撲滅前のDjangoアプリケーションについての紹介

2. 運用における問題点
    - トイル撲滅前の運用における問題点についての紹介

3. SREとは
    - SREについての紹介
    - Site Reliability向上におけるアプローチの紹介

4. トイル撲滅戦略
    - 具体的な技術的アプローチについての紹介

5. 効果
    - トイル撲滅による効果の紹介

6. まとめ

関連書籍
---
[Site Reliability Engineering](https://landing.google.com/sre/book/index.html)"
14,denzow,Djangoだってカンバンつくれるもん(Django Channels + Vue),DjangoのライブラリであるDjango Channelsを使用して、Websocketを使ったアプリケーションの構築についてお話します。TrelloのようなカンバンアプリケーションをVue.jsと組み合わせて作成した際の話が中心になります。,45,scoutyという会社ででDBやバックエンドを中心に活動している、Djangoが好きなエンジニアです。,特別会議室,2,2,rc,ja,ja,Beginner,"Django,Python,websocket,Vuejs,Vuex","Django Channels 2.1系とVue.js + Vuexを使用して複数ブラウザでリアルタイムに同期するいわゆるカンバンアプリケーションを作成した際の流れを振り返りながらChannelsの紹介や、Vue.jsとの組み合わせの実践的な内容をコードを含めて紹介します。

* Django Channelsの概要
* Django Channelsの基本概念
    - asgi
    - routing
    - consumer
* 本番でのアプリケーションサーバ選定(not uWSGI, use daphne)
* Vue.js + VuexでのWebsocket利用方法(vue-native-websocket)
* vue-native-websocketを踏まえた実践的なConsumerの実装方法
* pytestでConsumerのテストをする方法

"
15,Kashun Yoshida,DjangoではじめるPyCharm実践入門,Pythonの開発をサポートするエディタや統合開発環境はさまざまですが、PyCharmはその中でも使いやすいツールの一つです。ここではDjangoを題材にして、そんなPyCharmの便利なポイントや使い方を紹介します。,45,BeProudに所属するSoftware Developer。業務ではWebアプリケーション全般の開発を行う。プライベートではOSSのドキュメント翻訳にも携わる。,C会議室,1,1,re,ja_en,ja,All,"Web programming including frameworks (Django / Flask / Pylons etc.),Best practices,Programming tools","PythonのWebフレームワークといえばDjangoが挙げられます。またPythonのIDEといえばPyCharmです。

Pythonの開発をサポートするエディタや統合開発環境はさまざまですが、PyCharmはその中でも使いやすいツールの一つです。
Python開発者にとって幅広い必須となるツールを提供し、生産的なPython開発とWeb開発のための便利な環境を作り出します。

すでにVimやEmacs, VSCodeなどのツールに慣れていると新しいツールを使うのが億劫になったり、
PyCharmが提供してくる機能の多さにはじめはなにをしたらいいのかわからなくなることがあるかもしれません。
しかし使っていくと手放せないツールになっていきます。

ここではDjangoを題材にして、そんなPyCharmの便利なポイントや使い方を紹介します。

## 取り上げる題材

- インテリジェントなコード補完
- デバッグ機能
- リモート連携 (SSH, Vagrant, Docker)
- データベース連携
- バージョン管理システムとの連携
- JavaScriptおよびその他の言語
- etc...

## 対象者
- PyCharmを使ってみたいがどうやって使っていったらいいかわからない人
- 普段からPyCharmを使っているが、もっと使いこなしたい人
- 他に使い慣れているツールがあるが、PyCharmもおさえておきたい人
"
16,Iskandar Setiadi,From Data to Web Application: Anime Character Image Recognition with Transfer Learning,"In this talk, we will take a 30-minute journey converting raw data of anime character images to a web application with image recognition capability.",30,"I am an Indonesian software engineer working for HDE, Inc. in Tokyo, Japan.",A+B会議室,2,4,ra,en,en,Intermediate,"python,machine learning,deep learning,transfer learning,image recognition,Machine learning and data science","Deep learning is a booming machine-learning technique which we often read in a lot of articles nowadays. Deep learning sounds like an intimidating concept for a lot of people, but everyone believes that deep learning is a cutting-edge tool to solve a lot of problems. In this talk, we will see how Python and various open-source tools are very easy to use and very powerful for solving deep learning problems. For the study case, we will have a 30-minute journey in revisiting image recognition problem with anime characters.

I will briefly explain how traditional machine learning works with TensorFlow and introduces some alternatives tools out there. After that, we will see how deep learning enhances our knowledge in the traditional machine learning and how we can get more benefits from it. All of these examples will be presented in the context of image recognition problem, and while on it, we will also see the use cases of other tools, such as OpenCV, OpenFace, etc.

In the main part of the talk, we will see that images of anime characters are limited by nature, since it totally depends on number of existing fan arts. In addition, 3D model (human face) cannot be applied directly in solving this problem since 2D model (anime character face) totally depends on the illustrator. Therefore, we will explore how we can utilize transfer learning for model training with small amount of dataset. Finally, we will build our own simple app with Sanic to serve our ready-built model for other users.

This talk will introduce the concept of deep learning, transfer learning, and how we can apply it to our own existing problems. In addition, we will present some alternative PaaS as a comparison to build a model from scratch."
17,Michael Penkov,Fun with Python and Kanji,Kanji is hard to learn because there are thousands of characters. This talk brings Python and graph theory to the rescue.,30,"Developer based in Sapporo. Writes code in ViM, rarely leaves the command line.",小展示ホール,1,3,rb,en,en,All,Python in education science and maths,"The presentation will have approximately 3 parts. First, I will briefly talk about what ideograms are, what they look like, and most importantly, how they can be broken down into smaller, finite components that are sometimes called radicals [1]. I will show how this can be done with Python and several existing datasets. The first part can take around 5 minutes.

[1] https://en.wikipedia.org/wiki/Radical_%28Chinese_characters%29

Next, I'll give a basic introduction to graph theory. Nodes, edges, graphs/digraphs, connected components, centrality, etc. I will show examples using networkx, a common Python library for working with graphs. The second part can take around 5 minutes.

Using the material from the previous sections, I will frame the ideograms as a graph problem. Each ideogram is a node, and edges connect ideograms that share common radicals. I will use this graph demonstrate interesting, helpful, and sometimes amusing relationships between the ideograms. For example, what are the most similar (difficult to distinguish) ideograms? What are most commonly occurring radicals? How does changing a radical affect the ""meaning"" of an ideogram? The third part will take around 10 minutes.

I will conclude with a summary and some potential future work."
18,Yuki Takino,HomeSecurity with Python,このトークではIoTに焦点を当てて、身近な自宅でのセキュリティをPythonで構築した例をもとにIoTの開発事例を紹介します。,45,長野のIT会社、日本システム技研 / クリエイティブアーキテクト。普段はPython/DjangoでWeb開発。,D会議室,2,1,rf,ja,ja,Beginner,"Web programming including frameworks (Django / Flask / Pylons etc.),Python libraries extending and embedding python in hardware","ホームセキュリティと言われてぱっと思いつくのは「鍵」「防犯カメラ」「盗難防止アラーム」などがセオリーでしょう。

しかし、`鍵はスマートロックを買えば良いし、他も探せば売ってるから買えば良い。`という答えが出てしまえばこのトークはココで終了です。

私も色々とIoTガジェットを物色しましたが、発展途上の為か`かゆい所に手が届かない`という部分が目立つように感じました。

このトークでは

* AWS
* RaspberryPi

といったオーソドックスなプラットフォームを軸に

* IoTの身近な活用事例
* 自宅のセキュリティをPython x IoTで構築する
* かゆいところに手が届く機能は実装できるか
* 技術・時間・予算の関係上実装するのが難しいもの
* 取得したデータをWebで可視化、コミュニケーションツールでの活用する方法

等を実例を元に解説します。

尚、話さない項目は以下になります。

* IoTのふか〜い話
* 機械学習などを用いた応用術"
